,team,conf,conf_rank,stars_5,stars_4,stars_3,num_star_players,avg_recruit_score,composite_score,year
214,Nebraska,Big-Ten,6,0,2,1,3,83.16,172.33,2002
215,Illinois,Big-Ten,7,0,1,1,2,81.11,155.41,2002
216,Purdue,Big-Ten,8,0,2,1,3,79.71,137.02,2002
217,Wisconsin,Big-Ten,9,0,1,1,2,79.07,129.47,2002
218,Rutgers,Big-Ten,10,0,2,4,6,80.77,117.69,2002
219,Northwestern,Big-Ten,11,0,1,6,7,78.5,111.17,2002
220,Indiana,Big-Ten,12,0,0,4,4,77.54,91.93,2002
221,Minnesota,Big-Ten,13,0,0,4,4,77.25,90.65,2002
222,UCLA,Pac-12,1,1,1,1,3,88.07,258.06,2002
223,USC,Pac-12,2,1,9,1,11,88.33,250.9,2002
224,Washington,Pac-12,3,1,6,1,8,86.3,218.86,2002
225,Colorado,Pac-12,4,0,7,2,9,84.22,218.56,2002
226,Arizona State,Pac-12,5,0,4,1,5,82.3,193.35,2002
227,Stanford,Pac-12,6,2,2,7,11,83.8,175.79,2002
228,Arizona,Pac-12,7,0,1,1,2,81.55,175.32,2002
229,Oregon,Pac-12,8,1,1,6,8,81.03,154.47,2002
230,Oregon State,Pac-12,9,0,3,8,11,80.94,153.38,2002
231,Washington State,Pac-12,10,0,4,3,7,79.86,147.73,2002
232,Utah,Pac-12,11,0,0,3,3,79.05,59.74,2002
233,Tennessee,SEC,1,3,1,7,11,92.32,299.26,2002
234,Georgia,SEC,2,1,8,1,10,86.48,244.84,2002
235,Florida,SEC,3,1,8,9,18,86.15,236.73,2002
236,South Carolina,SEC,4,1,5,1,7,85.52,234.8,2002
237,Mississippi State,SEC,5,2,5,1,8,83.32,226.35,2002
238,Auburn,SEC,6,1,7,1,9,84.36,226.3,2002
239,LSU,SEC,7,0,7,1,8,85.22,210.17,2002
240,Ole Miss,SEC,8,0,4,1,5,85.56,193.5,2002
241,Arkansas,SEC,9,0,5,9,14,85.76,191.28,2002
242,Alabama,SEC,10,0,4,7,11,83.59,147.97,2002
243,Vanderbilt,SEC,11,0,0,5,5,77.67,95.67,2002
244,Kentucky,SEC,12,0,0,0,0,70,0,2002
245,Houston,AAC,1,0,1,1,2,81.11,159.33,2002
246,UCF,AAC,2,0,3,7,10,80.95,156.61,2002
247,Memphis,AAC,3,0,2,4,6,78.61,128.75,2002
248,Tulane,AAC,4,0,0,8,8,78.12,108.31,2002
249,Tulsa,AAC,5,0,0,5,5,78.42,107.69,2002
250,Cincinnati,AAC,6,0,0,2,2,77.1,87.58,2002
251,SMU,AAC,7,0,0,1,1,76.94,84.52,2002
252,East Carolina,AAC,8,0,0,2,2,76.88,80.47,2002
253,Temple,AAC,9,0,0,1,1,77.08,78.82,2002
254,Connecticut,AAC,10,0,0,1,1,76.15,66.92,2002
255,USF,AAC,11,0,0,1,1,77.41,59.28,2002
256,Southern Miss,C-USA,1,0,3,5,8,79.05,141.15,2002
257,Middle Tennessee State,C-USA,2,0,1,6,7,78.84,124.79,2002
258,UAB,C-USA,3,0,1,0,1,77.14,91.7,2002
259,Marshall,C-USA,4,0,0,0,0,76.67,60.25,2002
260,Louisiana Tech,C-USA,5,0,1,0,1,77.78,45.48,2002
261,North Texas,C-USA,6,0,0,1,1,78.89,26.46,2002
262,FIU,C-USA,7,0,0,0,0,76.67,6.67,2002
263,UTEP,C-USA,8,0,0,0,0,70,0,2002
264,Western Michigan,MAC,1,0,0,1,1,76.96,84.27,2002
265,Bowling Green,MAC,2,0,0,1,1,77.04,81.31,2002
266,Eastern Michigan,MAC,3,0,0,0,0,76.67,77.27,2002
267,Akron,MAC,4,0,0,0,0,76.67,76.83,2002
268,Buffalo,MAC,5,0,0,0,0,76.67,76.26,2002
269,Central Michigan,MAC,6,0,0,0,0,76.67,73.52,2002
270,Northern Illinois,MAC,7,0,0,0,0,76.67,72.15,2002
271,Miami (OH),MAC,8,0,0,0,0,76.67,60.25,2002
272,Toledo,MAC,9,0,0,1,1,77.5,29.44,2002
273,Ohio,MAC,10,0,0,0,0,76.67,13.29,2002
274,Kent State,MAC,11,0,0,0,0,76.67,6.67,2002
275,San Jose State,M-West,1,0,4,1,5,80.95,126.74,2002
276,San Diego State,M-West,2,0,2,4,6,81.39,117.81,2002
277,Hawaii,M-West,3,0,1,3,4,78.33,109.63,2002
278,Colorado State,M-West,4,0,0,5,5,77.73,104.1,2002
279,Nevada,M-West,5,0,1,1,2,77.84,93.48,2002
280,New Mexico,M-West,6,0,0,3,3,77.84,93.32,2002
281,UNLV,M-West,7,0,0,1,1,76.97,83.93,2002
282,Wyoming,M-West,8,0,1,0,1,77.56,83.82,2002
283,Boise State,M-West,9,0,0,0,0,76.36,76.83,2002
284,Utah State,M-West,10,0,0,1,1,76.67,75.17,2002
285,Air Force,M-West,11,0,0,0,0,76.67,6.67,2002
286,Fresno State,M-West,12,0,0,0,0,70,0,2002
287,Eastern Washington,Big-Sky,1,0,0,0,0,70,0,2002
288,Weber State,Big-Sky,1,0,0,0,0,70,0,2002
289,Maine,CAA,1,0,0,0,0,70,0,2002
290,Cornell,Ivy,1,0,0,0,0,70,0,2002
291,Howard,MEAC,1,0,0,0,0,70,0,2002
292,Monmouth,NEC,1,0,0,0,0,70,0,2002
293,Arkansas State,SBC,1,0,1,0,1,77.3,90.16,2002
294,Idaho,SBC,2,0,0,0,0,76.38,77.27,2002
295,Louisiana-Monroe,SBC,3,0,0,0,0,76.67,76.83,2002
296,Louisiana,SBC,4,0,0,0,0,76.67,60.25,2002
297,New Mexico State,SBC,5,0,0,0,0,76.67,19.8,2002
298,Troy,SBC,6,0,0,0,0,76.67,6.67,2002
299,Miami,ACC,1,3,9,9,21,88.74,257.73,2003
300,Virginia,ACC,2,0,6,1,7,85.39,220.34,2003
301,Florida State,ACC,3,2,4,9,15,87.53,203.95,2003
302,N.C. State,ACC,4,0,4,1,5,84.25,194.13,2003
303,North Carolina,ACC,5,0,3,1,4,84.13,192.52,2003
304,Virginia Tech,ACC,6,0,4,1,5,82.5,174.88,2003
305,Boston College,ACC,7,0,2,2,4,82.54,170.35,2003
306,Georgia Tech,ACC,8,0,2,1,3,81.49,159.66,2003
307,Clemson,ACC,9,0,2,1,3,82.22,153.65,2003
308,Pittsburgh,ACC,10,0,0,1,1,80.51,147.62,2003
309,Louisville,ACC,11,1,0,9,10,79.81,137.31,2003
310,Syracuse,ACC,12,0,1,9,10,79.13,128.96,2003
311,Wake Forest,ACC,13,0,0,1,1,79.65,125.47,2003
312,Duke,ACC,14,0,0,7,7,79.17,91.65,2003
313,Oklahoma,Big-12,1,2,7,1,10,88.64,247.77,2003
314,Texas,Big-12,2,1,8,9,18,88.64,237.4,2003
315,Texas A&M,Big-12,3,1,3,1,5,85.53,207.47,2003
316,Oklahoma State,Big-12,4,0,2,2,4,82.12,183.97,2003
317,Kansas State,Big-12,5,0,4,1,5,83.75,167.35,2003
318,Missouri,Big-12,6,0,1,1,2,81.88,163.47,2003
319,Kansas,Big-12,7,0,0,1,1,80.67,151.57,2003
320,West Virginia,Big-12,8,0,0,1,1,79.68,129.6,2003
321,Iowa State,Big-12,9,0,0,1,1,79.39,127.9,2003
322,Baylor,Big-12,10,0,0,1,1,79.39,126.41,2003
323,TCU,Big-12,11,0,0,7,7,78.6,110.37,2003
324,Texas Tech,Big-12,12,0,2,4,6,81.21,108.77,2003
325,Michigan,Big-Ten,1,2,9,4,15,91.35,255.1,2003
326,Illinois,Big-Ten,2,0,2,1,3,81.71,180.52,2003
327,Maryland,Big-Ten,3,1,1,1,3,83.19,179.95,2003
328,Purdue,Big-Ten,4,0,2,1,3,81.84,174.87,2003
329,Wisconsin,Big-Ten,5,1,1,1,3,81.86,170.37,2003
330,Nebraska,Big-Ten,6,0,2,1,3,83.16,166.25,2003
331,Rutgers,Big-Ten,7,1,1,1,3,80.78,164.34,2003
332,Iowa,Big-Ten,8,0,1,1,2,81.23,158.53,2003
333,Minnesota,Big-Ten,9,0,2,1,3,80.13,149.65,2003
334,Ohio State,Big-Ten,10,2,4,0,6,95.99,148.26,2003
335,Penn State,Big-Ten,11,0,3,7,10,85.19,144.63,2003
336,Northwestern,Big-Ten,12,0,0,8,8,78.33,111.31,2003
337,Michigan State,Big-Ten,13,0,0,1,1,78.77,110.52,2003
338,Indiana,Big-Ten,14,0,0,6,6,78.07,101.12,2003
339,USC,Pac-12,1,2,1,1,4,89.4,288.61,2003
340,Colorado,Pac-12,2,0,1,2,3,83.92,185.54,2003
341,Washington,Pac-12,3,0,2,2,4,83.05,184.69,2003
342,Arizona State,Pac-12,4,0,3,1,4,83.52,183.77,2003
343,California,Pac-12,5,0,1,2,3,82.82,180.46,2003
344,Stanford,Pac-12,6,0,3,1,4,82.63,179.93,2003
345,UCLA,Pac-12,7,0,4,1,5,83.22,174.6,2003
346,Oregon,Pac-12,8,0,2,1,3,82.12,172.47,2003
347,Arizona,Pac-12,9,0,1,1,2,81.03,159.32,2003
348,Washington State,Pac-12,10,0,0,1,1,80.37,133.59,2003
349,Oregon State,Pac-12,11,0,0,1,1,79.33,123.52,2003
350,Utah,Pac-12,12,0,0,7,7,78.33,102.89,2003
351,Florida,SEC,1,6,8,1,15,89.96,298.36,2003
352,LSU,SEC,2,0,1,1,2,89.84,282.27,2003
353,Georgia,SEC,3,2,5,1,8,86.41,236.21,2003
