"year","month","day","team","opponent","location","teamscore","oppscore","OT"
2017,2,23,"Detroit Mercy","Jacksonville","H",12,11,NA
2017,2,25,"Detroit Mercy","Robert Morris","V",6,15,NA
2017,3,3,"Detroit Mercy","Bellarmine","N",13,10,NA
2017,3,5,"Detroit Mercy","Marquette","V",6,8,NA
2017,3,11,"Detroit Mercy","Air Force","V",8,13,NA
2017,3,18,"Detroit Mercy","Manhattan","H",14,11,NA
2017,3,26,"Detroit Mercy","Quinnipiac","V",8,6,NA
2017,4,1,"Detroit Mercy","Siena","V",10,6,NA
2017,4,8,"Detroit Mercy","Canisius","H",5,11,NA
2017,4,15,"Detroit Mercy","Monmouth","H",8,11,NA
2017,4,22,"Detroit Mercy","Marist","V",6,7,NA
2017,4,29,"Detroit Mercy","Cleveland St.","V",6,13,NA
2017,5,5,"Detroit Mercy","Monmouth","N",7,11,NA
2017,2,18,"Drexel","Virginia","V",14,18,NA
2017,2,25,"Drexel","Albany (NY)","H",8,19,NA
2017,2,28,"Drexel","Villanova","H",13,15,NA
2017,3,4,"Drexel","Marist","V",7,11,NA
2017,3,10,"Drexel","Bryant","H",7,5,NA
2017,3,12,"Drexel","Saint Joseph's","H",12,8,NA
2017,3,18,"Drexel","St. John's (NY)","V",9,7,NA
2017,3,26,"Drexel","Providence","V",8,9,1
2017,4,1,"Drexel","Towson","H",7,8,NA
2017,4,8,"Drexel","Fairfield","H",13,12,NA
2017,4,15,"Drexel","Hofstra","V",13,12,NA
2017,4,22,"Drexel","Delaware","H",14,9,NA
2017,4,28,"Drexel","Massachusetts","V",8,14,NA
2017,5,4,"Drexel","Towson","V",4,8,NA
2017,2,5,"Duke","Air Force","H",10,11,NA
2017,2,10,"Duke","High Point","H",10,5,NA
2017,2,12,"Duke","Cleveland St.","H",22,7,NA
2017,2,18,"Duke","Denver","V",9,14,NA
2017,2,25,"Duke","Saint Joseph's","H",16,3,NA
2017,3,5,"Duke","Richmond","V",9,8,NA
2017,3,11,"Duke","Loyola Maryland","H",15,7,NA
2017,3,13,"Duke","Jacksonville","H",13,6,NA
2017,3,18,"Duke","Georgetown","V",12,7,NA
2017,3,25,"Duke","Syracuse","V",11,12,1
2017,4,2,"Duke","North Carolina","V",12,8,NA
2017,4,8,"Duke","Notre Dame","H",11,8,NA
2017,4,15,"Duke","Virginia","H",20,11,NA
2017,4,22,"Duke","Marquette","V",11,7,NA
2017,4,28,"Duke","Notre Dame","H",6,7,NA
2017,5,7,"Duke","Boston U.","N",18,8,NA
2017,5,13,"Duke","Johns Hopkins","V",19,6,NA
2017,5,20,"Duke","Ohio St.","N",11,16,NA
2017,2,11,"Fairfield","Richmond","V",3,15,NA
2017,2,18,"Fairfield","Bucknell","V",13,12,NA
2017,2,25,"Fairfield","Rutgers","H",3,8,NA
2017,2,28,"Fairfield","UMass Lowell","V",8,7,NA
2017,3,4,"Fairfield","Stony Brook","V",6,9,NA
2017,3,11,"Fairfield","Yale","V",10,11,2
2017,3,17,"Fairfield","Penn St.","V",8,9,NA
2017,3,21,"Fairfield","NJIT","H",13,6,NA
2017,3,25,"Fairfield","Villanova","H",9,18,NA
2017,4,1,"Fairfield","Hofstra","H",6,10,NA
2017,4,8,"Fairfield","Drexel","V",12,13,NA
2017,4,15,"Fairfield","Massachusetts","V",8,12,NA
2017,4,22,"Fairfield","Towson","H",9,8,NA
2017,4,28,"Fairfield","Delaware","H",11,7,NA
2017,2,2,"Furman","Vermont","H",12,13,1
