"
              Name
          ","Yr","team","Pos","WAR","wOBA","wRAA","wSB","wGDP","br.runs","rep.runs","g","ab","r","h","h.1b","h.2b","h.3b","hr","rbi","bb","k","sb","cs","avg","obp","slg","hbp","sf","sh","tb","xbh","hdp","go","fo","go/fo","pa"
"Zack  Belski","Sr","Princeton","IF",1.15276711596269,0.292590361445783,5.65975201374214,-0.101851692976436,-0.00417794571020377,-0.106029638686639,10.3014737239313,41,143,17,33,25,2,1,5,17,19,33,0,0,0.231,0.325,0.364,2,2,0,68,12,4,38,31,1.23,164
"Asher  Lee0Tyson","Jr","Princeton","IF",1.2405820087274,0.312040816326531,7.41156536077651,0.298148307023564,-0.0059744623655914,0.292173844657973,9.35926576137665,36,125,22,33,26,2,2,3,19,17,22,2,0,0.264,0.361,0.384,3,2,2,48,7,5,43,30,1.43,149
"Jesper  Horsted","So","Princeton","OF",0.532411902438157,0.24248,-0.60071091905612,-0.0512189716312057,-0.00262037823052254,-0.0538393498617282,7.97736074962976,31,114,13,32,24,7,1,0,9,8,27,2,1,0.281,0.344,0.36,3,0,2,41,8,2,36,19,1.89,127
"David  Harding","Fr","Princeton","INF",0.457918261708283,0.243305785123967,-0.494084986834266,-0.798665208190345,-0.00950482649071359,-0.808170034681059,7.60047756460788,34,110,14,35,26,9,0,0,19,6,24,2,3,0.318,0.364,0.4,3,2,0,44,9,7,22,29,0.76,121
"Ramzi  Haddad","Fr","Princeton","IF",0.400011366586148,0.224237288135593,-2.24384171532005,0.333574982841455,0,0.333574982841455,7.41203597209694,32,105,11,26,18,7,0,1,10,10,25,2,0,0.248,0.322,0.343,2,1,0,36,8,0,24,28,0.86,118
"Joseph  Flynn","So","Princeton","IF",-0.236196063842677,0.125157894736842,-9.75692621373684,0.169001658659346,-0.00492400744416873,0.164077651215177,6.34420028120162,27,91,5,14,11,3,0,0,5,2,34,1,0,0.154,0.181,0.187,1,1,3,25,5,3,19,23,0.83,101
"Danny  Baer","Sr","Princeton","OF",0.0928182367095586,0.185520833333333,-4.73605406981747,-0.015792295813315,-0.00165957287933094,-0.017451868692646,6.03013096035005,30,90,8,18,13,4,0,1,9,6,31,2,1,0.2,0.255,0.278,0,0,0,25,3,1,27,14,1.93,96
"Cody  Phillips","Sr","Princeton","INF",0.324823139809803,0.229157894736842,-1.44042351442106,-0.0575683482040723,-0.00169729044477028,-0.0592656386488426,5.96731709617974,29,88,16,23,19,4,0,0,4,6,17,0,0,0.261,0.316,0.307,1,0,1,17,3,1,16,25,0.64,95
"Conor  Nolan","Fr","Princeton","OF/P",0.567104724198896,0.26,0.854016579549183,0.983914579043697,-0.0052715844402277,0.978642994603469,5.96731709617974,33,85,9,22,19,3,0,0,7,11,18,9,2,0.259,0.344,0.294,1,0,0,27,4,3,19,22,0.86,95
"Paul  Tupper","Sr","Princeton","OF",0.478118078534452,0.271578947368421,1.39038532951813,0.360144989704873,-0.0111463850104317,0.348998604694441,4.83666754111411,24,67,9,17,9,5,0,3,11,5,17,2,0,0.254,0.315,0.463,4,0,0,18,3,5,21,15,1.4,77
"Max  West","So","Princeton","C",0.518125420102007,0.288918918918919,2.341036629718,0.144645819034546,-0.00759465554948059,0.137051163485065,4.64822594860317,24,59,8,13,10,2,0,1,5,14,9,1,0,0.22,0.403,0.305,1,0,1,31,8,3,15,19,0.79,74
"Alex  Dickinson","So","Princeton","C",0.147087973466057,0.207213114754098,-1.97316630674572,0.164573324182109,0,0.164573324182109,3.8316457143891,22,53,5,9,8,1,0,0,0,8,21,1,0,0.17,0.279,0.189,0,0,0,10,1,0,12,11,1.09,61
"Chris  Davis","Fr","Princeton","OF",0.143794178512343,0.241071428571429,-0.163325089079169,0.382286662091055,0,0.382286662091055,1.75878819676877,8,26,5,6,6,0,0,0,1,1,10,2,0,0.231,0.286,0.231,1,0,0,6,0,0,5,4,1.25,28
"Brendan  Galvin","Fr","Princeton","C",-0.0673698369183034,0.0627272727272727,-1.60040909291574,-0.00221416723861817,-0.0149361559139785,-0.0171503231525967,0.690952505873444,6,10,1,0,0,0,0,0,0,1,4,0,0,0,0.091,0,0,0,0,0,0,1,3,3,1,11
"Max  Machiorlette","So","Princeton","IF/OF",-0.0623553768527103,0.069,-1.54637620333077,-0.00221416723861817,0,-0.00221416723861817,0.690952505873444,9,9,1,0,0,0,0,0,1,1,4,0,0,0,0.1,0,0,0,1,0,0,0,5,0,0,11
"Tim  DeGraw","So.","Yale","OF",1.91961848099569,0.315809523809524,11.1709730371816,1.91498226950355,0,1.91498226950355,13.3165392041064,46,177,49,58,46,8,3,1,38,23,21,16,3,0.328,0.41,0.424,5,5,2,75,12,0,46,49,0.94,212
"Richard  Slenker","Sr.","Yale","IF",1.85238264358085,0.340732984293194,13.7921990015093,-0.309080444978266,-0.00283597897100858,-0.311916423949274,11.9974480565298,44,158,39,54,41,10,0,3,33,25,24,3,2,0.342,0.45,0.462,7,1,0,73,13,3,31,48,0.65,191
"Simon  Whiteman","So.","Yale","IF/OF",1.42844481072786,0.312515337423313,8.21863694742646,1.13298873255548,-0.00622339829749104,1.12676533425799,10.3014737239313,37,144,32,44,36,5,0,3,19,12,18,10,2,0.306,0.363,0.403,6,1,0,70,18,6,32,27,1.19,164
"Griffin  Dey","So.","Yale","1B/RHP",0.988018273398847,0.277278481012658,3.60322778655479,-0.0642108499199268,0,-0.0642108499199268,10.0502182672501,42,142,26,32,14,8,0,10,33,15,51,0,0,0.225,0.323,0.493,0,1,1,57,10,0,26,33,0.79,160
"Harrison  White","Sr.","Yale","IF",1.23024691396365,0.313522012578616,8.04250849436881,-1.04294855296271,-0.00329474027514232,-1.04624329323785,9.92459053890946,42,136,21,42,32,7,1,2,20,22,34,1,3,0.309,0.403,0.419,1,0,1,58,8,3,39,39,1,158
"Dai Dai  Otaka","Fr.","Yale","MIF",0.0904274477928603,0.181716417910448,-7.37614407802551,-0.235719800960879,-0.00114893507030604,-0.236868736031185,8.85675484801414,40,130,24,34,25,9,0,0,17,2,21,1,1,0.262,0.276,0.331,1,1,7,43,9,1,53,29,1.83,141
"Alec  Hoeschel","Sr.","Yale","IF",0.431209758011904,0.223071428571429,-2.79000054328152,-0.0730675188743995,0,-0.0730675188743995,8.79394098384383,35,127,18,30,21,7,0,2,16,10,33,0,0,0.236,0.3,0.339,2,1,0,43,9,0,28,32,0.88,140
"Andrew  Herrera","Sr.","Yale","C",0.224440862993054,0.202923076923077,-4.64183907702296,-0.435719800960879,-0.00127659452256226,-0.436996395483441,8.1658023421407,36,117,27,30,18,10,1,1,18,7,36,0,1,0.256,0.308,0.385,3,3,0,45,12,1,20,28,0.71,130
"Benny  Wanger","So.","Yale","1B/RHP",1.53200963862941,0.376153846153846,12.9932431469395,-0.0863525223061085,-0.00138297739944245,-0.0877354997055509,8.1658023421407,31,108,22,38,19,10,1,8,48,16,21,0,0,0.352,0.446,0.685,4,2,0,74,19,1,22,26,0.85,130
"Alex  Stiegler","Fr.","Yale","RHP/SS",0.630389191612778,0.298850574712644,3.42892789820991,-0.218006463051933,-0.00533434139784946,-0.223340804449783,5.46480618281724,36,84,13,26,19,3,0,4,12,1,13,1,1,0.31,0.31,0.488,0,2,0,41,7,3,13,30,0.43,87
"Tom  Ruddy","Jr.","Yale","OF",0.117244570677546,0.195,-3.26905019640955,-0.0135781285746969,-0.00426747311827957,-0.0178456016929764,4.89948140528442,39,70,18,13,12,1,0,0,7,6,15,2,1,0.186,0.25,0.2,0,0,2,14,1,2,28,12,2.33,78
"Alex  Boos","Jr.","Yale","C/IF",0.237475813025762,0.246296296296296,-0.0940421605526719,-0.0287841741020362,-0.0028723376757651,-0.0316565117778013,3.39194866519691,19,52,10,16,11,4,0,1,8,1,9,0,0,0.308,0.333,0.442,1,0,0,23,5,1,11,14,0.79,54
"Brian  Ronai","Fr.","Yale","IF/RHP",0.508462896016369,0.3276,3.09631091459601,0.760144989704873,-0.00373403897849462,0.756410950726378,3.14069320851565,17,40,10,13,9,3,0,1,5,7,12,4,0,0.325,0.44,0.475,2,1,0,19,4,1,5,10,0.5,50
"Derek  Brown","Sr.","Yale","IF",0.248870796493959,0.275609756097561,0.86975020447147,-0.0221416723861817,0,-0.0221416723861817,2.57536843098284,14,36,9,10,5,3,1,1,7,4,8,0,0,0.278,0.366,0.5,1,0,0,18,5,0,9,9,1,41
"Tom  Fuller","So.","Yale","C",0.00661763289346781,0.19037037037037,-1.27501626341717,-0.387008121711279,-0.00574467535153019,-0.392752797062809,1.75878819676877,9,26,2,6,5,1,0,0,1,1,5,0,1,0.231,0.259,0.269,0,0,1,7,1,1,9,6,1.5,28
"Tyler  Sapsford","Fr.","Yale","RHP/MIF",-0.00958254843306952,0,-0.194612544433217,0,0,0,0.0628138641703131,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
