Year,NL MVP,AL MVP,NL Cy Young,AL Cy Young
1984,Ryne Sandberg - VCHC 156 G .314/.367/.520,Willie Hernandez - VDET 9-3 (32 SV) 1.92 112 SO,Rick Sutcliffe - VCHC 16-1 2.69 155 SO,Willie Hernandez - VDET 9-3 (32 SV) 1.92 112 SO
1983,Dale Murphy - VATL 162 G .302/.393/.540,Cal Ripken - VBAL 162 G .318/.371/.517,John Denny - VPHI 19-6 2.37 139 SO,LaMarr Hoyt - VCHW 24-10 3.66 148 SO
1982,Dale Murphy - VATL 162 G .281/.378/.507,Robin Yount - VMIL 156 G .331/.379/.578,Steve Carlton - VPHI 23-11 3.10 286 SO,Pete Vuckovich - VMIL 18-6 3.34 105 SO
1981,Mike Schmidt - VPHI 102 G .316/.435/.644,Rollie Fingers - VMIL 6-3 (28 SV) 1.04 61 SO,Fernando Valenzuela - VLAD 13-7 2.48 180 SO,Rollie Fingers - VMIL 6-3 (28 SV) 1.04 61 SO
1980,Mike Schmidt - VPHI 150 G .286/.380/.624,George Brett - VKCR 117 G .390/.454/.664,Steve Carlton - VPHI 24-9 2.34 286 SO,Steve Stone - VBAL 25-7 3.23 149 SO
1979,Keith Hernandez - VSTL 161 G .344/.417/.513 Willie Stargell - VPIT 126 G .281/.352/.552,Don Baylor - VCAL 162 G .296/.371/.530,Bruce Sutter - VCHC 6-6 (37 SV) 2.22 110 SO,Mike Flanagan - VBAL 23-9 3.08 190 SO
1978,Dave Parker - VPIT 148 G .334/.394/.585,Jim Rice - VBOS 163 G .315/.370/.600,Gaylord Perry - VSDP 21-6 2.73 154 SO,Ron Guidry - VNYY 25-3 1.74 248 SO
1977,George Foster - VCIN 158 G .320/.382/.631,Rod Carew - VMIN 155 G .388/.449/.570,Steve Carlton - VPHI 23-10 2.64 198 SO,Sparky Lyle - VNYY 13-5 (26 SV) 2.17 68 SO
1976,Joe Morgan - VCIN 141 G .320/.444/.576,Thurman Munson - VNYY 152 G .302/.337/.432,Randy Jones - VSDP 22-14 2.74 93 SO,Jim Palmer - VBAL 22-13 2.51 159 SO
1975,Joe Morgan - VCIN 146 G .327/.466/.508,Fred Lynn - VBOS 145 G .331/.401/.566,Tom Seaver - VNYM 22-9 2.38 243 SO,Jim Palmer - VBAL 23-11 (1 SV) 2.09 193 SO
1974,Steve Garvey - VLAD 156 G .312/.342/.469,Jeff Burroughs - VTEX 152 G .301/.397/.504,Mike Marshall - VLAD 15-12 (21 SV) 2.42 143 SO,Catfish Hunter - VOAK 25-12 2.49 143 SO
1973,Pete Rose - VCIN 160 G .338/.401/.437,Reggie Jackson - VOAK 151 G .293/.383/.531,Tom Seaver - VNYM 19-10 2.08 251 SO,Jim Palmer - VBAL 22-9 (1 SV) 2.40 158 SO
1972,Johnny Bench - VCIN 147 G .270/.379/.541,Dick Allen - VCHW 148 G .308/.420/.603,Steve Carlton - VPHI 27-10 1.97 310 SO,Gaylord Perry - VCLE 24-16 (1 SV) 1.92 234 SO
1971,Joe Torre - VSTL 161 G .363/.421/.555,Vida Blue - VOAK 24-8 1.82 301 SO,Fergie Jenkins - VCHC 24-13 2.77 263 SO,Vida Blue - VOAK 24-8 1.82 301 SO
1970,Johnny Bench - VCIN 158 G .293/.345/.587,Boog Powell - VBAL 154 G .297/.412/.549,Bob Gibson - VSTL 23-7 3.12 274 SO,Jim Perry - VMIN 24-12 3.04 168 SO
1969,Willie McCovey - VSFG 149 G .320/.453/.656,Harmon Killebrew - VMIN 162 G .276/.427/.584,Tom Seaver - VNYM 25-7 2.21 208 SO,Mike Cuellar - VBAL 23-11 2.38 182 SO Denny McLain - VDET 24-9 2.80 181 SO
1968,Bob Gibson - VSTL 22-9 1.12 268 SO,Denny McLain - VDET 31-6 1.96 280 SO,Bob Gibson - VSTL 22-9 1.12 268 SO,Denny McLain - VDET 31-6 1.96 280 SO
1967,Orlando Cepeda - VSTL 151 G .325/.399/.524,Carl Yastrzemski - VBOS 161 G .326/.418/.622,Mike McCormick - VSFG 22-10 2.85 150 SO,Jim Lonborg - VBOS 22-9 3.16 246 SO
1966,Roberto Clemente - VPIT 154 G .317/.360/.536,Frank Robinson - VBAL 155 G .316/.410/.637,Sandy Koufax - VLAD 27-9 1.73 317 SO,Sandy Koufax - VLAD 27-9 1.73 317 SO
1965,Willie Mays - VSFG 157 G .317/.398/.645,Zoilo Versalles - VMIN 160 G .273/.319/.462,Sandy Koufax - VLAD 26-8 (2 SV) 2.04 382 SO,Sandy Koufax - VLAD 26-8 (2 SV) 2.04 382 SO
1964,Ken Boyer - VSTL 162 G .295/.365/.489,Brooks Robinson - VBAL 163 G .317/.368/.521,Dean Chance - VLAA 20-9 (4 SV) 1.65 207 SO,Dean Chance - VLAA 20-9 (4 SV) 1.65 207 SO
1963,Sandy Koufax - VLAD 25-5 1.88 306 SO,Elston Howard - VNYY 135 G .287/.342/.528,Sandy Koufax - VLAD 25-5 1.88 306 SO,Sandy Koufax - VLAD 25-5 1.88 306 SO
1962,Maury Wills - VLAD 165 G .299/.347/.373,Mickey Mantle - VNYY 123 G .321/.486/.605,Don Drysdale - VLAD 25-9 (1 SV) 2.83 232 SO,Don Drysdale - VLAD 25-9 (1 SV) 2.83 232 SO
1961,Frank Robinson - VCIN 153 G .323/.404/.611,Roger Maris - VNYY 161 G .269/.372/.620,Whitey Ford - VNYY 25-4 3.21 209 SO,Whitey Ford - VNYY 25-4 3.21 209 SO
1960,Dick Groat - VPIT 138 G .325/.371/.394,Roger Maris - VNYY 136 G .283/.371/.581,Vern Law - VPIT 20-9 3.08 120 SO,Vern Law - VPIT 20-9 3.08 120 SO
1959,Ernie Banks - VCHC 155 G .304/.374/.596,Nellie Fox - VCHW 156 G .306/.380/.389,Early Wynn - VCHW 22-10 3.17 179 SO,Early Wynn - VCHW 22-10 3.17 179 SO
1958,Ernie Banks - VCHC 154 G .313/.366/.614,Jackie Jensen - VBOS 154 G .286/.396/.535,Bob Turley - VNYY 21-7 (1 SV) 2.97 168 SO,Bob Turley - VNYY 21-7 (1 SV) 2.97 168 SO
1957,Hank Aaron - VMLN 151 G .322/.378/.600,Mickey Mantle - VNYY 144 G .365/.512/.665,Warren Spahn - VMLN 21-11 (3 SV) 2.69 111 SO,Warren Spahn - VMLN 21-11 (3 SV) 2.69 111 SO
1956,Don Newcombe - VBRO 27-7 3.06 139 SO,Mickey Mantle - VNYY 150 G .353/.464/.705,Don Newcombe - VBRO 27-7 3.06 139 SO,Don Newcombe - VBRO 27-7 3.06 139 SO
1955,Roy Campanella - VBRO 123 G .318/.395/.583,Yogi Berra - VNYY 147 G .272/.349/.470,,
1954,Willie Mays - VNYG 151 G .345/.411/.667,Yogi Berra - VNYY 151 G .307/.367/.488,,
1953,Roy Campanella - VBRO 144 G .312/.395/.611,Al Rosen - VCLE 155 G .336/.422/.613,,
1952,Hank Sauer - VCHC 151 G .270/.361/.531,Bobby Shantz - VPHA 24-7 2.48 152 SO,,
1951,Roy Campanella - VBRO 143 G .325/.393/.590,Yogi Berra - VNYY 141 G .294/.350/.492,,
1950,Jim Konstanty - VPHI 16-7 (22 SV) 2.66 56 SO,Phil Rizzuto - VNYY 155 G .324/.418/.439,,
1949,Jackie Robinson - VBRO 156 G .342/.432/.528,Ted Williams - VBOS 155 G .343/.490/.650,,
1948,Stan Musial - VSTL 155 G .376/.450/.702,Lou Boudreau - VCLE 152 G .355/.453/.534,,
1947,Bob Elliott - VBSN 150 G .317/.410/.517,Joe DiMaggio - VNYY 141 G .315/.391/.522,,
1946,Stan Musial - VSTL 156 G .365/.434/.587,Ted Williams - VBOS 150 G .342/.497/.667,,
1945,Phil Cavarretta - VCHC 132 G .355/.449/.500,Hal Newhouser - VDET 25-9 (2 SV) 1.81 212 SO,,
1944,Marty Marion - VSTL 144 G .267/.324/.362,Hal Newhouser - VDET 29-9 (2 SV) 2.22 187 SO,,
1943,Stan Musial - VSTL 157 G .357/.425/.562,Spud Chandler - VNYY 20-4 1.64 134 SO,,
1942,Mort Cooper - VSTL 22-7 1.78 152 SO,Joe Gordon - VNYY 147 G .322/.409/.491,,
1941,Dolph Camilli - VBRO 149 G .285/.407/.556,Joe DiMaggio - VNYY 139 G .357/.440/.643,,
1940,Frank McCormick - VCIN 155 G .309/.367/.482,Hank Greenberg - VDET 148 G .340/.433/.670,,
1939,Bucky Walters - VCIN 27-11 2.29 137 SO,Joe DiMaggio - VNYY 120 G .381/.448/.671,,
1938,Ernie Lombardi - VCIN 129 G .342/.391/.524,Jimmie Foxx - VBOS 149 G .349/.462/.704,,
1937,Joe Medwick - VSTL 156 G .374/.414/.641,Charlie Gehringer - VDET 144 G .371/.458/.520,,
1936,Carl Hubbell - VNYG 26-6 (3 SV) 2.31 123 SO,Lou Gehrig - VNYY 155 G .354/.478/.696,,
1935,Gabby Hartnett - VCHC 116 G .344/.404/.545,Hank Greenberg - VDET 152 G .328/.411/.628,,
1934,Dizzy Dean - VSTL 30-7 (7 SV) 2.66 195 SO,Mickey Cochrane - VDET 129 G .320/.428/.412,,
1933,Carl Hubbell - VNYG 23-12 (5 SV) 1.66 156 SO,Jimmie Foxx - VPHA 149 G .356/.449/.703,,
1932,Chuck Klein - VPHI 154 G .348/.404/.646,Jimmie Foxx - VPHA 154 G .364/.469/.749,,
1931,Frankie Frisch - VSTL 131 G .311/.368/.396,Lefty Grove - VPHA 31-4 (5 SV) 2.06 175 SO,,
1929,Rogers Hornsby - VCHC 156 G .380/.459/.679,,,
1928,Jim Bottomley - VSTL 149 G .325/.402/.628,Mickey Cochrane - VPHA 131 G .293/.395/.464,,
1927,Paul Waner - VPIT 155 G .380/.437/.549,Lou Gehrig - VNYY 155 G .373/.474/.765,,
1926,Bob O'Farrell - VSTL 147 G .293/.371/.433,George Burns - VCLE 151 G .358/.394/.494,,
1925,Rogers Hornsby - VSTL 138 G .403/.489/.756,Roger Peckinpaugh - VWSH 126 G .294/.367/.379,,
1924,Dazzy Vance - VBRO 28-6 2.16 262 SO,Walter Johnson - VWSH 23-7 2.72 158 SO,,
1923,,Babe Ruth - VNYY 152 G .393/.545/.764,,
1922,,George Sisler - VSLB 142 G .420/.467/.594,,
1914,Johnny Evers - VBSN 139 G .279/.390/.338,Eddie Collins - VPHA 152 G .344/.452/.452,,
1913,Jake Daubert - VBRO 139 G .350/.405/.423,Walter Johnson - VWSH 36-7 (2 SV) 1.14 243 SO,,
1912,Larry Doyle - VNYG 143 G .330/.393/.471,Tris Speaker - VBOS 153 G .383/.464/.567,,
1911,Frank Schulte - VCHC 154 G .300/.384/.534,Ty Cobb - VDET 146 G .420/.467/.621,,
